Prefacture,Coorddinates
Chiba,"35.896204,140.506419"
Tokyo,"35.548108,139.45034"
Tokyo,"35.548171,139.4513"
Tokyo,"35.545302,139.45501"
Tokyo,"35.546111,139.45436"
Tokyo,"35.545645,139.45488"
Tokyo,"35.546713,139.45398"
Tokyo Metropolis,"27.094863,142.194033"
Tokyo Metropolis,"27.094708,142.193279"
Tokyo Metropolis,"27.094596,142.192781"
Tokyo Metropolis,"27.09448,142.19235"
Tokyo,"35.71681,139.776399"
Tokyo,"35.717715,139.775397"
Tokyo,"35.62637,139.521513"
Kanagawa,"35.451167,139.631501"
Kanagawa,"35.451037,139.644154"
Kanagawa,"35.443707,139.650904"
Kanagawa,"35.458698,139.638331"
Kanagawa,"35.453319,139.631688"
Ibaraki,"35.897341,140.649095"
Ibaraki,"36.322445,139.994116"
Ibaraki,"36.08581,140.110839"
Ibaraki,"36.510672,140.525632"
Ibaraki,"36.372273,140.452358"
Niigata,"37.314216,138.794792"
Niigata,"37.309883,138.812636"
Niigata,"37.311028,138.795653"
Niigata,"37.314301,138.7835"
Toyama,"36.715615,137.164366"
Toyama,"36.70987,137.213161"
Toyama,"36.692325,137.210281"
Ishikawa,"36.559162,136.661926"
Ishikawa,"37.389147,136.906156"
Ishikawa,"37.39454,137.240367"
Ishikawa,"37.139152,136.724847"
Ishikawa,"37.228298,136.905007"
Ishikawa,"37.333975,137.138718"
Ishikawa,"37.087801,136.923564"
Fukui,"36.056787,136.492007"
Fukui,"36.215613,136.234226"
Fukui,"35.895286,136.198727"
Fukui,"36.079891,136.399312"
Fukui,"35.492951,135.54556"
Fukui,"35.604507,135.936876"
Fukui,"35.984502,136.485931"
Fukui,"35.661865,136.074281"
Fukui,"35.831454,136.201365"
Fukui,"35.494981,135.741761"
Fukui,"35.890505,136.339213"
Fukui,"36.161806,136.333313"
Fukui,"36.061483,136.223635"
Fukui,"35.48179,135.62838"
Fukui,"35.950098,136.181116"
Fukui,"35.461441,135.860204"
Fukui,"35.93468,136.05872"
Gifu,"35.37067,136.807773"
Gifu,"35.807771,137.242963"
Gifu,"35.490472,136.91225"
Gifu,"35.36402,136.46842"
Gifu,"36.144911,137.257235"
Shizuoka,"34.977499,138.382564"
Shizuoka,"34.704017,137.732587"
Shizuoka,"35.081613,138.854743"
Shizuoka,"35.161532,138.617705"
Shizuoka,"34.970344,138.927728"
Aichi,"34.72096,137.429448"
Aichi,"34.762599,137.382958"
Aichi,"34.695901,137.413953"
Aichi,"34.768863,137.393843"
Aichi,"35.183128,136.904598"
Aichi,"35.225707,137.100838"
Aichi,"34.88566,136.823159"
Aichi,"35.04095,137.0481"
Aichi,"34.867221,137.048298"
Mie,"34.718493,136.5108"
Mie,"34.952407,136.611964"
Mie,"34.487787,136.707097"
Mie,"34.48691,136.844825"
Mie,"33.891753,136.116125"
Mie,"34.275988,136.898317"
Mie,"34.767543,136.130081"
Mie,"34.859442,136.447461"
Mie,"35.037263,136.658857"
Mie,"34.539966,136.618492"
Mie,"34.356007,136.34766"
Mie,"34.432062,136.631325"
Mie,"33.769742,136.028632"
Mie,"34.626212,136.088911"
Mie,"35.075575,136.731805"
Mie,"35.073792,136.581108"
Mie,"34.823065,136.584609"
Mie,"35.01731,136.659834"
Mie,"34.466166,136.553734"
Mie,"34.467841,136.587606"
Mie,"34.268997,136.54891"
Mie,"34.06078,136.216025"
Mie,"35.15788,136.51618"
Mie,"35.019585,136.506542"
Mie,"34.297193,136.399061"
Mie,"34.216869,136.346376"
Mie,"33.80391,136.04345"
Mie,"35.08304,136.703006"
Mie,"34.490787,136.844965"
Mie,"34.852227,136.538663"
Mie,"34.578655,136.519839"
Shiga,"35.0102,135.8699"
Shiga,"34.9981,135.8946"
Shiga,"34.919591,136.170196"
Shiga,"34.960528,136.165168"
Shiga,"34.900437,136.229399"
Kyoto,"35.011863,135.678745"
Kyoto,"35.00337,135.780573"
Kyoto,"34.994784,135.714323"
Kyoto,"35.014858,135.782013"
Kyoto,"34.987804,135.743538"
Kyoto,"34.890627,135.809787"
Kyoto,"34.895547,135.805962"
Kyoto,"34.892561,135.784525"
Osaka,"34.679788,135.601221"
Osaka,"34.66771,135.63989"
Osaka,"34.680678,135.650788"
Osaka,"34.667678,135.626309"
Osaka,"34.669486,135.630586"
Hyogo,"34.601828,135.009441"
Hyogo,"34.550436,134.938094"
Hyogo,"34.482151,134.873103"
Nara,"34.60189,135.73917"
Nara,"34.60474,135.7376"
Nara,"34.60827,135.73769"
Nara,"34.60826,135.73755"
Nara,"34.60983,135.73529"
Wakayama,"34.230017,135.171405"
Wakayama,"34.212091,135.583052"
Wakayama,"33.675779,135.387056"
Wakayama,"33.517997,135.823074"
Wakayama,"33.668973,135.902917"
Tottori,"35.539668,134.237266"
Tottori,"35.456258,133.361525"
Tottori,"35.454272,133.850116"
Tottori,"35.521481,133.258356"
Tottori,"35.590938,134.321556"
Tottori,"35.343951,134.400345"
Tottori,"35.409324,133.894397"
Tottori,"35.478166,133.88401"
Tottori,"35.506942,133.661612"
Tottori,"35.504584,133.502093"
Tottori,"35.347474,133.423398"
Tottori,"35.383395,133.458512"
Tottori,"35.170524,133.31094"
Tottori,"35.24192,133.441049"
Tottori,"35.265428,134.226103"
Tottori,"35.366456,134.339426"
Tottori,"35.49924,133.81794"
Tottori,"35.441126,133.379578"
Tottori,"35.295841,133.474089"
Tottori,"35.53395,134.224478"
Shimane,"34.88924,132.07129"
Shimane,"35.433009,132.629353"
Shimane,"35.145782,132.413128"
Shimane,"35.428407,133.259012"
Shimane,"36.177252,133.330247"
Okayama,"34.43427,133.81388"
Okayama,"34.59556,133.76888"
Okayama,"34.59274,133.77046"
Okayama,"34.59829,133.77029"
Yamaguchi,"33.958211,130.948691"
Yamaguchi,"33.954627,130.941677"
Yamaguchi,"33.934094,130.930909"
Yamaguchi,"33.935457,130.929705"
Tokushima,"34.224106,134.636196"
Tokushima,"34.181955,134.601709"
Tokushima,"34.168084,134.616371"
Kagawa,"34.338888,134.049052"
Kagawa,"34.292014,133.793951"
Kagawa,"34.312992,133.856292"
Kagawa,"34.22531,133.7773"
Kagawa,"34.125275,133.655211"
Kagawa,"34.321305,134.173241"
Kagawa,"34.251174,134.333457"
Kagawa,"34.268799,133.632222"
Kagawa,"34.482694,134.187512"
Kagawa,"34.470854,134.23587"
Kagawa,"34.268586,134.134567"
Kagawa,"34.455827,133.975492"
Kagawa,"34.250399,133.917073"
Kagawa,"34.187735,133.819896"
Kagawa,"34.272282,133.757247"
Kagawa,"34.173339,133.871387"
Kagawa,"34.313426,133.807869"
Kagawa,"34.247395,133.932774"
Ehime,"33.84106,132.77024"
Ehime,"33.84426,132.74078"
Kochi,"33.695608,133.874784"
Kochi,"33.425249,134.017781"
Kochi,"33.749067,133.684166"
Kochi,"33.533556,133.371256"
Kochi,"33.476856,133.004184"
Kochi,"32.767739,132.627259"
Kochi,"32.922536,132.83982"
Kochi,"33.325698,134.195181"
Kochi,"33.504321,133.906544"
Kochi,"33.392381,133.292645"
Kochi,"32.915754,132.712575"
Kochi,"33.534367,133.75346"
Kochi,"33.543169,134.294959"
Kochi,"32.791142,132.862367"
Kochi,"33.47986,133.99983"
Kochi,"33.75877,133.59448"
Kochi,"33.561104,133.129433"
Kochi,"33.567017,133.543137"
Fukuoka,"33.884982,130.876213"
Fukuoka,"33.890528,130.884609"
Fukuoka,"33.87192,130.807892"
Fukuoka,"33.946285,130.964119"
Fukuoka,"33.957206,130.96161"
Fukuoka,"33.505199,130.516571"
Fukuoka,"33.519356,130.531372"
Fukuoka,"33.513335,130.515174"
Saga,"33.250756,130.29893"
Saga,"33.248336,130.308901"
Saga,"33.24901,130.300313"
Nagasaki,"32.753712,129.86735"
Nagasaki,"33.163987,129.724169"
Nagasaki,"32.933111,129.958278"
Nagasaki,"32.74085,130.261106"
Nagasaki,"32.986402,129.112745"
Nagasaki,"32.790222,130.370593"
Nagasaki,"33.811969,129.655703"
Nagasaki,"32.831977,129.849052"
Nagasaki,"33.03573,129.919487"
Nagasaki,"33.254897,129.658935"
Miyazaki,"31.807505,131.457839"
Miyazaki,"31.725213,131.066189"
Miyazaki,"32.684711,131.801103"
Miyazaki,"31.58793,131.401706"
Miyazaki,"31.95742,131.12641"
Miyazaki,"32.425392,131.627736"
Miyazaki,"31.36627,131.332809"
Miyazaki,"32.106625,131.404508"
Miyazaki,"32.050305,130.80595"
Miyazaki,"31.73375,131.120309"
Miyazaki,"32.115956,131.532841"
Miyazaki,"32.168246,131.478286"
Miyazaki,"32.191491,131.528984"
Miyazaki,"32.260902,131.557577"
Miyazaki,"32.487021,131.676733"
Miyazaki,"32.431976,131.467551"
Miyazaki,"31.907234,130.960187"
Miyazaki,"31.988591,131.321916"
Miyazaki,"31.998975,131.253754"
Miyazaki,"32.223238,131.16329"
Miyazaki,"32.509811,131.331498"
Miyazaki,"32.458153,131.153831"
Miyazaki,"32.707748,131.305889"
Miyazaki,"32.660643,131.388639"
Miyazaki,"32.679051,131.210041"
Miyazaki,"32.073902,131.495719"
Kagoshima,"31.237194,130.642861"
Kagoshima,"31.228,130.653028"
Kagoshima,"31.255278,130.647639"
Kagoshima,"31.229417,130.651972"
Kagoshima,"31.238278,130.645"
Kagoshima,"31.236833,130.642194"
Kagoshima,"31.263889,130.662917"
Kagoshima,"31.231056,130.644611"
Kagoshima,"31.235444,130.641389"
Okinawa,"26.21641,127.68942"
Okinawa,"26.281438,127.731812"
Okinawa,"26.32766,127.803001"
Okinawa,"26.436181,127.826113"
Okinawa,"26.245559,127.687899"
Okinawa,"26.587352,127.985744"
Okinawa,"26.13828,127.661336"
Okinawa,"26.691694,127.877972"
Okinawa,"26.157556,127.656121"
Okinawa,"26.169111,127.827083"
Okinawa,"24.337418,124.156947"
Okinawa,"24.734962,125.263088"
Okinawa,"26.315733,127.753613"
Okinawa,"26.14914,127.34735"
Okinawa,"26.227878,127.301424"
Okinawa,"26.373985,126.788928"
Okinawa,"26.22005,127.71657"
